Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
AA2146-105;t. NIKE AIR MAX AXIS WHITE/BLUE AA2146-105 # 6.5;2,990.00;NIKE;ZAPATO;17;45,793.00;2,693.71;16/4/2019;L2,790.00;COBRAR
AR7420-001;T.N. AIR MAX RAITO BPV BLK/BLU AR7420-001 # 10.5;1,690.00;NIKE;ZAPATO;17;27,151.20;1,597.13;16/4/2019;L1,590.00;ESTA BUENO
AO0352-001;T. NIKE AIR MAX MOTION 2 BLK/ROSE AO0352-001 # 5;2,990.00;NIKE;ZAPATO;17;47,388.00;2,787.53;16/4/2019;L2,790.00;COBRAR
MCF SHOES;Membresia Cliente Frecuente SHOES;65.00;MEMBRESIA SHOES;SIN SECCION;16;260.00;16.25;0/1/1900;L0.00;
12135;T.WHITE LEDGE BROWN 12135 #7;2,990.00;TIMBERLAND;ZAPATO;16;43,961.50;2,747.59;22/4/2019;L2,790.00;COBRAR
AR7421-002;T.N. AIR MAX RAITO BT BLK/WHT AR7421-002 # 5;1,490.00;NIKE;ZAPATO;16;22,529.50;1,408.09;16/4/2019;L1,390.00;ESTA BUENO
AR7420-002;T.N. AIR MAX RAITO BPV BLK/WHT AR7420-002 # 10.5;1,690.00;NIKE;ZAPATO;16;25,151.00;1,571.94;16/4/2019;L1,590.00;COBRAR
369402 02;SANDALIA PUMA EPIC PINK 369402 02 # 5;650.00;PUMA;SANDALIAS;16;9,137.50;571.09;30/1/2019;L590.00;
364504 04;T.PUMA BASKET CLASS WHITE 364504 04 # 11C;1,390.00;PUMA;ZAPATO;15;19,079.50;1,271.97;10/5/2019;L1,290.00;COBRAR
360248 29;SANDALIA PUMA EPIC PURPLE 360248 29 # 4;650.00;PUMA;SANDALIAS;15;8,274.00;551.60;30/1/2019;L590.00;
943092 010;GORRA NIKE SPTCAS BLACK 943092 010;690.00;NIKE;ACCESORIOS;15;9,794.50;652.97;16/4/2019;L650.00;ESTA BUENO
LRF8019SO COGNAC;ZAPATO KENNET COLE BROW LRF8019SO COGNAC # 6;1,790.00;KENNETH COLE;ZAPATO;15;14,250.00;950.00;4/12/2018;L1,590.00;
880840-001;T. NIKE WMNS FREE RN 2 BLK/WHT 880840-001 # 5;2,590.00;NIKE;ZAPATO;15;36,140.00;2,409.33;22/2/2019;L2,390.00;
6905B;T. TRAIL WIND BROW 6905B # 7;2,990.00;TIMBERLAND;ZAPATO;15;41,770.00;2,784.67;22/4/2019;L2,790.00;COBRAR
A1R1S;T. BOLTERO HIKER BLK A1R1S # 7;2,990.00;TIMBERLAND;ZAPATO;15;41,230.50;2,748.70;22/4/2019;L2,790.00;COBRAR
943092 451;GORRA NIKE BLUE SPTCASL 943092 451;690.00;NIKE;ACCESORIOS;15;9,582.00;638.80;16/4/2019;L650.00;COBRAR
85043;PELOTA PARA TENIS PENN VOLT 85043;170.00;PENN;ACCESORIOS;15;2,470.00;164.67;1/10/2018;L150.00;
360248 31;SANDALIA PUMA PINK EPIC FLIP 360248 31# 5;650.00;PUMA;SANDALIAS;14;8,375.00;598.21;10/5/2019;L590.00;ESTA BUENO
016101 NVY;T. RS INTENSE NVY/BLK 016101 # 6.5;990.00;RS PERFORMANCE;ZAPATO;14;13,357.00;954.07;13/5/2019;L890.00;ESTA BUENO
V5VLA;BOLA VOLLEY BALL NAVY/YELL V5VLA 5;350.00;PROFLITE;ACCESORIOS;14;4,490.00;320.71;4/3/2019;L290.00;
A1NRW;T. MADDSEN MID LTHR BRINDLE GREY A1NRW # 6;2,990.00;TIMBERLAND;ZAPATO;14;36,702.00;2,621.57;22/4/2019;L2,790.00;COBRAR
WF59031;T.K. KICKSTART MATTE MET PLATINUM WF59031 # 5;1,590.00;KEDS;ZAPATO;14;11,910.00;850.71;30/11/2018;L1,390.00;
LRF8019SO BLACK;ZAPATO KENNET COLE BROW LRF8019SO BLACK # 6;1,790.00;KENNETH COLE;ZAPATO;14;10,928.50;780.61;4/12/2018;L1,590.00;
AR0642-001;T. WMNS AIR FORCE 1 '07 GRY/MTLC AR0642-001 # 5;3,250.00;NIKE;ZAPATO;14;42,268.00;3,019.14;24/1/2019;L2,990.00;
WF58543;T.K. KICKSTART MATTE MET ROSE GOLD WF58543 # 6;1,590.00;KEDS;ZAPATO;14;10,906.00;779.00;30/11/2018;L1,390.00;
016101 GREY;T. RS INTENSE DK.GREY/BLK 016101 # 6.5;990.00;RS PERFORMANCE;ZAPATO;13;12,192.00;937.85;13/5/2019;L890.00;ESTA BUENO
BB-0121-Q;SET 12 BOLAS TENSORES DE MANO BB-0121-Q;120.00;BODY;ACCESORIOS;13;1,348.00;103.69;4/3/2019;L90.00;
367385 09;T.P INSURGE MESH PURPLE 367385 09 # 4;1,990.00;PUMA;ZAPATO;13;23,160.50;1,781.58;10/5/2019;L1,790.00;COBRAR
2730R;T. MT MADDSEN LTHR W DARK BROWN FULL 2730R # 7;3,390.00;TIMBERLAND;ZAPATO;13;39,865.83;3,066.60;22/4/2019;L3,190.00;COBRAR
BGR7-YBW;BALON MOLTEN ORG/YELL BGR7-YBW ;450.00;MOLTEN;ACCESORIOS;13;3,089.00;237.62;20/10/2016;L390.00;
802476;Z. MR JONES LARA BLACK  802476 # 6;1,790.00;MR JONES;ZAPATO;13;20,866.50;1,605.12;19/1/2019;L1,590.00;
MR90074PU BROWN;Z.K SOLE DESTINY BROWN MR90074PU # 8;1,690.00;KENNETH COLE;ZAPATO;13;11,595.00;891.92;14/2/2018;L1,590.00;
